[2026-09-15T19:46:41Z] === ENRICH ITERATION 1 START | repo=mhammond/pywin32 sha=58f58184 ===
[2026-09-15T19:46:41Z] [iter=1] PHASE START: enrich repo=mhammond/pywin32 sha=58f58184 runlog=/home/runner/work/forx/forx/storage/aggregate/lsp/logs/58f58184-enrich-iter-001.log output=/home/runner/work/forx/forx/storage/aggregate/lsp/58f58184e4374cca9d177a5ca31c95705367df68.nq.gz
[2026-09-15T19:46:41Z] [iter=1] Step 1: Loading AST into disk-backed store mem_mb=78 MB
[2026-09-15T19:49:12Z] [iter=1] AST store loaded triples=10183057 load_secs=147 mem_mb=955 MB
[2026-09-15T19:49:12Z] [iter=1] Step 2: Finding LSP targets mem_mb=955 MB
[2026-09-15T19:49:26Z] [iter=1] LSP targets found call_sites=74876 imports=0 extends=601 implements=0 secs=14
[2026-09-15T19:49:35Z] [iter=1] Step 2.7: Building position index (one-shot, shared across resolvers) mem_mb=955 MB
[2026-09-15T19:50:21Z] [iter=1] Position index built positions=736586 nodes_with_types=918193 secs=46 mem_mb=1683 MB
[2026-09-15T19:50:21Z] [iter=1] Step 3: Starting LSP resolution mem_mb=1683 MB already_completed_types=[] already_completed_files=0
[2026-09-15T19:50:21Z] [iter=1] Resolving target type target_type=call_site count=74876
[2026-09-15T19:50:23Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=3.7 files_done=0 resolved=0 errors=0 current=com/win32comext/shell/src/PyIActiveDesktop.cpp
[2026-09-15T19:51:56Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=5.2 files_done=1 resolved=0 errors=27 current=Pythonwin/win32win.cpp
[2026-09-15T20:01:05Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=14.4 files_done=2 resolved=0 errors=188 current=com/win32comext/axdebug/src/PyIDebugApplicationNode.cpp
[2026-09-15T20:01:49Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=15.1 files_done=3 resolved=0 errors=201 current=com/win32comext/axcontrol/src/PyIOleInPlaceSite.cpp
[2026-09-15T20:02:58Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=16.3 files_done=4 resolved=0 errors=221 current=Pythonwin/Scintilla/src/WindowAccessor.cxx
[2026-09-15T20:03:49Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=17.1 files_done=6 resolved=0 errors=236 current=com/win32com/src/oleargs.cpp
[2026-09-15T20:05:52Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=19.2 files_done=7 resolved=0 errors=272 current=Pythonwin/Scintilla/src/LexRuby.cxx
[2026-09-15T20:11:08Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=24.4 files_done=8 resolved=57 errors=364 current=com/win32comext/shell/src/shell.cpp
[2026-09-15T20:12:10Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=25.5 files_done=12 resolved=57 errors=3403 current=Pythonwin/win32dc.cpp
[2026-09-15T20:17:18Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=30.6 files_done=13 resolved=57 errors=3493 current=com/win32comext/shell/src/PyICategorizer.cpp
[2026-09-15T20:20:43Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=34.0 files_done=15 resolved=57 errors=3553 current=Pythonwin/Scintilla/src/LexConf.cxx
[2026-09-15T20:28:09Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=41.5 files_done=18 resolved=68 errors=3684 current=Pythonwin/Scintilla/src/LexPerl.cxx
[2026-09-15T20:31:02Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=44.3 files_done=19 resolved=126 errors=3735 current=Pythonwin/Scintilla/src/LexLua.cxx
[2026-09-15T20:32:58Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=46.3 files_done=20 resolved=139 errors=3769 current=Pythonwin/Scintilla/src/LexHTML.cxx
[2026-09-15T20:42:14Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=55.5 files_done=21 resolved=181 errors=3932 current=com/win32comext/shell/src/PyIShellFolder.cpp
[2026-09-15T20:43:39Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=57.0 files_done=22 resolved=181 errors=3957 current=Pythonwin/win32ctrlList.cpp
[2026-09-15T20:46:20Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=59.6 files_done=23 resolved=181 errors=4004 current=win32/src/win32security_sspi.cpp
[2026-09-15T20:48:30Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=61.8 files_done=24 resolved=181 errors=4042 current=Pythonwin/Scintilla/src/LexEScript.cxx
[2026-09-15T20:50:19Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=63.6 files_done=25 resolved=204 errors=4074 current=win32/src/win32clipboardmodule.cpp
[2026-09-15T20:52:07Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=65.4 files_done=26 resolved=204 errors=4105 current=com/win32comext/axdebug/src/PyIEnumRemoteDebugApplicationThreads.cpp
[2026-09-15T20:52:51Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=66.2 files_done=28 resolved=204 errors=4118 current=Pythonwin/win32assoc.cpp
[2026-09-15T20:53:55Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=67.2 files_done=29 resolved=204 errors=4136 current=com/win32com/src/univgw.cpp
[2026-09-15T20:54:29Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=67.8 files_done=30 resolved=207 errors=4146 current=com/win32comext/shell/src/PyIExtractImage.cpp
[2026-09-15T20:55:03Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=68.4 files_done=32 resolved=207 errors=4156 current=Pythonwin/win32cmd.cpp
[2026-09-15T20:59:03Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=72.4 files_done=34 resolved=213 errors=4226 current=com/win32com/src/extensions/PyIEnumVARIANT.cpp
[2026-09-15T21:00:12Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=73.5 files_done=36 resolved=213 errors=4246 current=Pythonwin/win32uimodule.cpp
[2026-09-15T21:16:06Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=89.4 files_done=37 resolved=215 errors=4522 current=win32/src/PySID.cpp
[2026-09-15T21:16:55Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=90.2 files_done=40 resolved=215 errors=5265 current=com/win32comext/shell/src/PyIShellFolder2.cpp
[2026-09-15T21:17:43Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=91.0 files_done=41 resolved=215 errors=5279 current=com/win32comext/axscript/src/PyGActiveScriptError.cpp
[2026-09-15T21:34:09Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=107.5 files_done=43 resolved=216 errors=5566 current=com/win32comext/taskscheduler/src/PyITaskTrigger.cpp
[2026-09-15T21:35:35Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=108.9 files_done=44 resolved=216 errors=5591 current=com/win32com/src/PyGatewayBase.cpp
